name,num_simulations,solution_id,time_to_solve,sse,extraction_duration,infusion_duration,infusion_pressure,p0,p1,p2,p3,p4
Diagnostics_100_01JUN2021_50,4096,50,0:00:00.554517 hh:mm:ss,9.744279,27.6,6.0,1.0,5.0,8.0,5.0,5.0,5.0
Diagnostics_101_02JUN2021_217,2048,217,0:00:00.238363 hh:mm:ss,8.269856,22.4,6.0,1.0,5.0,8.0,7.0,6.0,5.0
Diagnostics_102_03JUN2021_290,6250,290,0:00:00.694143 hh:mm:ss,13.484111,29.7,7.0,-0.0,5.0,9.0,5.0,6.0,5.0
Diagnostics_103_04JUN2021_600,2048,600,0:00:00.238389 hh:mm:ss,11.297522,24.7,5.0,1.0,5.0,8.0,7.0,5.0,6.0
Diagnostics_104_05JUN2021_42,486,42,0:00:00.077803 hh:mm:ss,14.641318,24.6,6.0,1.0,6.0,7.0,8.0,6.0,6.0
Diagnostics_105_14JUN2021_42,486,42,0:00:00.074800 hh:mm:ss,16.14681,21.7,5.0,1.0,6.0,7.0,8.0,6.0,6.0
Diagnostics_106_15JUN2021_148,1458,148,0:00:00.176528 hh:mm:ss,12.319439,21.0,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_107_17JUN2021_89,2048,89,0:00:00.272785 hh:mm:ss,12.347922,27.5,5.0,1.0,5.0,8.0,7.0,5.0,5.0
Diagnostics_108_18JUN2021_114,4096,114,0:00:00.452790 hh:mm:ss,8.60948,24.1,6.0,1.0,5.0,8.0,6.0,5.0,5.0
Diagnostics_109_19JUN2021_30,486,30,0:00:00.074800 hh:mm:ss,13.765387,24.0,6.0,1.0,6.0,8.0,7.0,6.0,6.0
Diagnostics_10_05FEB2021_103,486,103,0:00:00.066821 hh:mm:ss,10.882869,20.3,5.0,1.0,5.0,7.0,7.0,6.0,5.0
Diagnostics_110_20JUN2021_30,486,30,0:00:00.075798 hh:mm:ss,14.779777,21.4,5.0,1.0,6.0,8.0,7.0,6.0,6.0
Diagnostics_111_21JUN2021_498,4096,498,0:00:00.465729 hh:mm:ss,10.674974,23.8,6.0,1.0,5.0,8.0,8.0,6.0,5.0
Diagnostics_112_22JUN2021_178,4096,178,0:00:00.457778 hh:mm:ss,9.81827,26.0,6.0,1.0,5.0,8.0,7.0,5.0,5.0
Diagnostics_113_23JUN2021_48,486,48,0:00:00.079787 hh:mm:ss,15.007119,25.4,5.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_114_24JUN2021_1202,4096,1202,0:00:00.462763 hh:mm:ss,9.484186,26.5,6.0,1.0,5.0,8.0,7.0,5.0,6.0
Diagnostics_115_25JUN2021_98,972,98,0:00:00.126185 hh:mm:ss,9.662559,23.5,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_116_28JUN2021_48,486,48,0:00:00.077792 hh:mm:ss,15.724907,23.8,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_117_29JUN2021_45,243,45,0:00:00.044881 hh:mm:ss,13.508128,19.6,6.0,1.0,6.0,6.0,8.0,7.0,6.0
